Rank,Account Handle
1268,region_im_blick
1269,rheinneckarblog.de
1270,rosakochtgruen
1271,rums.muenster
1272,saarnews
1273,saarlandonline
1274,speyernews
1275,strg_f
1276,stuggitv
1277,sylt_tv
1278,taeglichme
1279,tag24.de
1280,testspiel
1281,thebusinessbeastcom
1282,thueringen24
1283,tonline.de
1284,transfermarkt_official
1285,trudoku
1286,urbanshit_official
1287,weserithnews
1288,wwwshow
1289,worringenpur
1290,wummssport
1291,wunderweib_de
1292,y_kollektiv
1293,zdnet_official
1294,dpa_com
1295,sid.sportnews
1296,teleschau
1297,infrontfinance
1298,cdu_bw
1299,cdubremen
1300,cdu_hamburg
1301,cdurlp
1302,cdu_saar
1303,cdu_lsa
1304,cdu.sh
1305,cdu_thueringen
1306,jubayern
1307,jungeunionberlin
1308,ju_brandenburg
1309,jubremen
1310,juhamburg
1311,juhessen
1312,jungeunionmv
1313,junge_union_niedersachsen
1314,jurlp
1315,junge_union_saar
1316,ju_sachsen
1317,ju_lsa
1318,ju_thueringen
1319,spd_bawue
1320,bayernspd
1321,spd_brandenburg
1322,spdlandbremen
1323,spdhamburg
1324,spd_mv
