name,channel,handle,url,category,label,rank
"Sturm, Andreas ",x,AndreasSturmMdL,https://www.x.com/AndreasSturmMdL,Politician,CDU,
"Sturm, Andreas ",facebook,andreassturmmdl,https://www.facebook.com/andreassturmmdl,Politician,CDU,3325
"Sturm, Andreas ",instagram,andreassturmmdl,https://www.instagram.com/andreassturmmdl/,Politician,CDU,2391
"Sturm, Andreas ",tiktok,@andreassturm,https://www.tiktok.com/@andreassturm,Politician,CDU,
"Teufel, Stefan",facebook,stefanteufelmdl,https://www.facebook.com/stefanteufelmdl/,Politician,CDU,526
"Teufel, Stefan",instagram,stefanteufelmdl,https://www.instagram.com/stefanteufelmdl/,Politician,CDU,2392
"Tok, Tayfun",x,tok_tayfun,https://www.x.com/tok_tayfun,Politician,Grüne,
"Tok, Tayfun",facebook,tayfuntokTT,https://www.facebook.com/tayfuntokTT,Politician,Grüne,1380
"Tok, Tayfun",instagram,tayfun_tok_tt,https://www.instagram.com/tayfun_tok_tt/,Politician,Grüne,2393
"Tok, Tayfun",tiktok,@tayfun.tok1,https://www.tiktok.com/@tayfun.tok1,Politician,Grüne,
"Trauschel, Alena ",x,alenatrauschel,https://www.x.com/alenatrauschel,Politician,FDP,
"Trauschel, Alena ",facebook,trauschel,https://www.facebook.com/trauschel,Politician,FDP,2484
"Trauschel, Alena ",instagram,alenatrauschel,https://www.instagram.com/alenatrauschel/,Politician,FDP,
"Tuncer, Fadime",facebook,fadimetuncer.de,https://www.facebook.com/fadimetuncer.de,Politician,Grüne,876
"Tuncer, Fadime",tiktok,@fadime_tuncer_,https://www.tiktok.com/@fadime_tuncer_,Politician,Grüne,
"Vogt, Tobias",x,TobiasVogt,https://www.x.com/TobiasVogt,Politician,CDU,
"Vogt, Tobias",facebook,TobiasVogtCDU,https://www.facebook.com/TobiasVogtCDU,Politician,CDU,
"Vogt, Tobias",instagram,vogt_tobias,https://www.instagram.com/vogt_tobias/,Politician,CDU,2394
"Wahl, Florian",x,flowahl,https://www.x.com/flowahl,Politician,SPD,
"Wahl, Florian",facebook,Flo.Wahl.BB,https://www.facebook.com/Flo.Wahl.BB,Politician,SPD,
"Wahl, Florian",tiktok,@florian.wahl,https://www.tiktok.com/@florian.wahl,Politician,SPD,
"Wald, Tobias",facebook,tobiaswaldmdl,https://www.facebook.com/tobiaswaldmdl,Politician,CDU,3431
